source_path,review_path,sha,size
"game-v57/cinematics/lot-01/01-ouverture-ruines-glacees.webp","review/visuels-a-trier/v57-lot-01-01-ouverture-ruines-glacees.webp","0a4fa262bd1fb6f86f58fb17a909b754fb1e64ff",261496
"game-v57/cinematics/lot-01/02-duel-des-ombres.webp","review/visuels-a-trier/v57-lot-01-02-duel-des-ombres.webp","a64b0fdb36b530af0cc4bf280194cf53093f3d37",241704
"game-v57/cinematics/lot-01/03-echo-neige-dechainement-givre.webp","review/visuels-a-trier/v57-lot-01-03-echo-neige-dechainement-givre.webp","858e86a0779d0c9c63b9bc126c87784359f5c42c",333012
"game-v57/cinematics/lot-01/04-choix-route-ombre.webp","review/visuels-a-trier/v57-lot-01-04-choix-route-ombre.webp","10c4eaaf741107c7fa7abcac92bcd69ccb677b2c",250184
"game-v57/cinematics/lot-01/05-choix-route-eclaireur.webp","review/visuels-a-trier/v57-lot-01-05-choix-route-eclaireur.webp","33f8e5caf901a2c962e2a2731cc6d7a91cba9462",246224
"game-v57/cinematics/lot-01/06-choix-route-solo.webp","review/visuels-a-trier/v57-lot-01-06-choix-route-solo.webp","1ebea94a6f03f11b8e94fe3327c6c17fc8e36c78",231948
"game-v57/cinematics/lot-01/07-chaleur-des-profondeurs.webp","review/visuels-a-trier/v57-lot-01-07-chaleur-des-profondeurs.webp","1d2e01290e4e1c6727e76ff9858f3adc937849e2",241908
"game-v57/cinematics/lot-01/08-cendres-froides.webp","review/visuels-a-trier/v57-lot-01-08-cendres-froides.webp","ab0ddbfd2ca47b24f127765457b31addcec53052",270756
"game-v57/cinematics/lot-01/09-a-bout-de-souffle-kaelen.webp","review/visuels-a-trier/v57-lot-01-09-a-bout-de-souffle-kaelen.webp","0b5383047db76188a31c50deda9de62b75a50f18",251014
"game-v57/cinematics/lot-01/10-ce-que-le-feu-ne-dit-pas.webp","review/visuels-a-trier/v57-lot-01-10-ce-que-le-feu-ne-dit-pas.webp","97aebb01ade7040bf60ff32931149c307dd76af0",268666
"game-v57/cinematics/lot-02/11-jonction-des-routes.webp","review/visuels-a-trier/v57-lot-02-11-jonction-des-routes.webp","2934839b75432814ec1de7464a14f6c683ac8a5a",300110
"game-v57/cinematics/lot-02/12-triangulation-tension.webp","review/visuels-a-trier/v57-lot-02-12-triangulation-tension.webp","56937f520bef3353d91404f615d877b9d96a422c",322644
"game-v57/cinematics/lot-02/13-echo-de-neige-fen.webp","review/visuels-a-trier/v57-lot-02-13-echo-de-neige-fen.webp","db4e81bdc5280614b73d37426a0aa64ed5447619",317126
"game-v57/cinematics/lot-02/14-chambre-apparition.webp","review/visuels-a-trier/v57-lot-02-14-chambre-apparition.webp","7f875c7e66ecce271b0498b2a4557f5f59c01205",200602
"game-v57/cinematics/lot-02/15-halte-groupe-neige.webp","review/visuels-a-trier/v57-lot-02-15-halte-groupe-neige.webp","3f2965d504ead7f24c84f58f7e37ccc8e4f080c0",284524
"game-v57/cinematics/lot-02/16-protection-kaelen.webp","review/visuels-a-trier/v57-lot-02-16-protection-kaelen.webp","18b0417b0b46fefbf1e199d6a4be4dd53577a893",332144
"game-v57/cinematics/lot-02/17-protection-alistair.webp","review/visuels-a-trier/v57-lot-02-17-protection-alistair.webp","b7285a3efca0a9922ddfe50630be4f6aacc66263",314182
"game-v57/cinematics/lot-02/18-route-solo-avancee.webp","review/visuels-a-trier/v57-lot-02-18-route-solo-avancee.webp","247f1e9454179c84eb568c55cf0846bab41af770",298930
"game-v57/cinematics/lot-02/19-memoires-de-glace-fresque.webp","review/visuels-a-trier/v57-lot-02-19-memoires-de-glace-fresque.webp","a608281c6c0284e0508045b358a01bcad8a0b969",302646
"game-v57/cinematics/lot-02/20-transition-acte-2.webp","review/visuels-a-trier/v57-lot-02-20-transition-acte-2.webp","339e87d58ede65da601b80259d80e4340a3606dd",314588
"game-v58/cinematics/duel-cendre-fin-mobile.webp","review/visuels-a-trier/v58-duel-cendre-fin-mobile.webp","51b02f94eedf7c45255aac7f446d00ad92d1db60",234408
"game-v58/cinematics/duel-cendre-fin-pc.webp","review/visuels-a-trier/v58-duel-cendre-fin-pc.webp","76a85d11b6a078ae6017f3a4ae4e5364aa3b820e",225666
"game-v58/cinematics/duel-orage-fin-mobile.webp","review/visuels-a-trier/v58-duel-orage-fin-mobile.webp","01751400bce4dfa4c301157484d8db490bba6892",217802
"game-v58/cinematics/duel-orage-fin-pc.webp","review/visuels-a-trier/v58-duel-orage-fin-pc.webp","4518012d2312f06902bf16c37b42e479ffe6a565",244894
"game-v58/cinematics/keyframes/duel-cendre-end-mobile.webp","review/visuels-a-trier/v58-keyframes-duel-cendre-end-mobile.webp","ffa07ee62c30eb3e4c389162f7c4608107688143",291254
"game-v58/cinematics/keyframes/duel-cendre-end-pc.webp","review/visuels-a-trier/v58-keyframes-duel-cendre-end-pc.webp","86604de5603b1ef905a143754486a3ee3904efc2",275502
"game-v58/cinematics/keyframes/duel-orage-end-mobile.webp","review/visuels-a-trier/v58-keyframes-duel-orage-end-mobile.webp","a37744dfec672677ed946499fc5934ded8997336",273526
"game-v58/cinematics/keyframes/duel-orage-end-pc.webp","review/visuels-a-trier/v58-keyframes-duel-orage-end-pc.webp","83e942bbbe75407ab2c6bf3da69d32db5d3e05ad",299226
"game-v58/cinematics/lot-01/duel-cendre-mobile.webp","review/visuels-a-trier/v58-lot-01-duel-cendre-mobile.webp","844d678ba3afe558a91917a098e78c9b8fc46399",292212
"game-v58/cinematics/lot-01/duel-cendre-pc.webp","review/visuels-a-trier/v58-lot-01-duel-cendre-pc.webp","e0adaf24ab11c56b0e8ce4ee657bbbc83dfa9535",274178
"game-v58/cinematics/lot-01/duel-orage-mobile.webp","review/visuels-a-trier/v58-lot-01-duel-orage-mobile.webp","a5e79c617ec77c4d10c5eea3eb65c16b1dc03491",269948
"game-v58/cinematics/lot-01/duel-orage-pc.webp","review/visuels-a-trier/v58-lot-01-duel-orage-pc.webp","11b77e2666c291563fdb6225d31710cb418cba9b",263472
"game-v58/cinematics/lot-01/fen-arrivee-mobile.webp","review/visuels-a-trier/v58-lot-01-fen-arrivee-mobile.webp","4ea226808265d4282f546eed4ffe48cbb1f07c6c",259408
"game-v58/cinematics/lot-01/fen-arrivee-pc.webp","review/visuels-a-trier/v58-lot-01-fen-arrivee-pc.webp","37d3790687186f000d9ba3406c7a87f94dfdc100",262928
"game-v58/cinematics/lot-02/triangulation-alistair-mobile.webp","review/visuels-a-trier/v58-lot-02-triangulation-alistair-mobile.webp","2772cf4aedcec3e9829b669818d1a3f5d0dc792d",257238
"game-v58/cinematics/lot-02/triangulation-alistair-pc.webp","review/visuels-a-trier/v58-lot-02-triangulation-alistair-pc.webp","315189f2ffbb41299d7cf1bcea049f5a5e59301c",254434
"game-v58/cinematics/lot-02/triangulation-kaelen-mobile.webp","review/visuels-a-trier/v58-lot-02-triangulation-kaelen-mobile.webp","5aff75916c2d47d0b086230fd55f908ed25f33a8",256610
"game-v58/cinematics/lot-02/triangulation-kaelen-pc.webp","review/visuels-a-trier/v58-lot-02-triangulation-kaelen-pc.webp","71e909c3c5799196cbbbf5b533b4876f3e8d0dc4",259254
